HUMIDITY,AIR_PRESSURE,WIND_SPEED,CLOUD_PRESENCE
0.6205314886580269,0.1414519948376084,0.8412948077387241,0.8073430481281083
0.055435657531394456,0.5785908415607909,0.7557704621146779,0.8986914436529746
0.7638366696171901,0.8125692728756841,0.11759044992162115,0.15698302452635793
0.2620691118861445,0.2945579220964736,0.5252096310968093,0.7222513786166291
0.6555166696604879,0.6529836953862467,0.8028510493118696,0.10697989550450138
0.3370027929145809,0.20465805219166888,0.4341564083787941,0.4172017361069863
0.6166850141426458,0.6602260978191506,0.7453707943855201,0.2419001956332363
0.8087813593130176,0.6976951046897263,0.04472998732846212,0.10117166541893552
0.462933819335493,0.4996009293206495,0.12006236672841453,0.10637060510157637
0.3645425752197442,0.11726880792910133,0.9081026866564048,0.9046452983446268
0.2269668624929861,0.6279898051691543,0.5875591179497062,0.687907542967747
0.29227702333731,0.21672409351974198,0.027990425157576215,0.06515476203310022
